id,accuracy,ailment_chance,crit_rate,drain,effect,effect_chance,flinch_chance,healing,internal_name,max_hits,max_turns,min_hits,min_turns,name,power,pp,priority,short_effect,stat_chance,text,move_ailment_id,move_category_id,move_damage_class_id,move_target_id,type_id
213,100,0,0,0,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.",__NULL__,0,0,attract,__NULL__,__NULL__,__NULL__,__NULL__,迷人,__NULL__,15,0,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.",0,"♂诱惑♀或♀诱惑♂，
让对手着迷。
对手将很难使出招式。",7,1,1,10,1
214,__NULL__,0,0,0,"Only usable if the user is sleeping.  Randomly selects and uses one of the user’s other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it’s forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",__NULL__,0,0,sleep-talk,__NULL__,__NULL__,__NULL__,__NULL__,梦话,__NULL__,10,0,Randomly uses one of the user’s other three moves.  Only works if the user is sleeping.,0,"从自己已学会的招式中
任意使出１个。
只能在自己睡觉时使用。",0,13,1,7,1
215,__NULL__,0,0,0,Removes major status effects and confusion from every Pokémon in the user’s party.,__NULL__,0,0,heal-bell,__NULL__,__NULL__,__NULL__,__NULL__,治愈铃声,__NULL__,5,0,Cures the entire party of major status effects.,0,"让同伴听舒适的铃音，
从而治愈我方全员的异常状态。",0,13,1,13,1
216,100,0,0,0,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",__NULL__,0,0,return,__NULL__,__NULL__,__NULL__,__NULL__,报恩,__NULL__,20,0,"Power increases with happiness, up to a maximum of 102.",0,"为了训练家而
全力攻击对手。
亲密度越高，威力越大。",0,0,2,10,1
217,90,0,0,0,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",__NULL__,0,0,present,__NULL__,__NULL__,__NULL__,__NULL__,礼物,__NULL__,15,0,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,0,"递给对手设有圈套的
盒子进行攻击。
也有可能回复对手ＨＰ。",0,0,2,10,1
218,100,0,0,0,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",__NULL__,0,0,frustration,__NULL__,__NULL__,__NULL__,__NULL__,迁怒,__NULL__,20,0,"Power increases as happiness decreases, up to a maximum of 102.",0,"为了发泄不满而
全力攻击对手。
亲密度越低，威力越大。",0,0,2,10,1
219,__NULL__,0,0,0,"Protects Pokémon on the user’s side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",__NULL__,0,0,safeguard,__NULL__,__NULL__,__NULL__,__NULL__,神秘守护,__NULL__,25,0,Protects the user’s field from major status ailments and confusion for five turns.,0,"在５回合内
被神奇的力量守护，
从而不会陷入异常状态。",0,11,1,4,1
220,__NULL__,0,0,0,"Changes the user’s and target’s remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute.",__NULL__,0,0,pain-split,__NULL__,__NULL__,__NULL__,__NULL__,分担痛楚,__NULL__,20,0,Sets the user’s and targets’s HP to the average of their current HP.,0,"将自己的ＨＰ和
对手的ＨＰ相加，
然后自己和对手友好地平分。",0,13,1,10,1
221,95,50,0,0,"Inflicts regular damage.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",50,0,0,sacred-fire,__NULL__,__NULL__,__NULL__,__NULL__,神圣之火,100,5,0,Has a $effect_chance% chance to burn the target.  Lets frozen Pokémon thaw themselves.,0,"用神秘的火焰
烧尽对手进行攻击。
有时会让对手陷入灼伤状态。",4,4,2,10,10
222,100,0,0,0,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig.",__NULL__,0,0,magnitude,__NULL__,__NULL__,__NULL__,__NULL__,震级,__NULL__,30,0,Power varies randomly from 10 to 150.,0,"晃动地面，攻击自己
周围所有的宝可梦。
招式的威力会有各种变化。",0,0,2,9,5
223,50,100,0,0,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,100,0,0,dynamic-punch,__NULL__,5,__NULL__,2,爆裂拳,100,5,0,Has a $effect_chance% chance to confuse the target.,0,"使出浑身力气出拳进行攻击。
必定会使对手混乱。",6,4,2,10,2
224,85,0,0,0,Inflicts regular damage.,__NULL__,0,0,megahorn,__NULL__,__NULL__,__NULL__,__NULL__,超级角击,120,10,0,Inflicts regular damage with no additional effect.,0,"用坚硬且华丽的角狠狠地
刺入对手进行攻击。",0,0,2,10,7
225,100,30,0,0,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,30,0,0,dragon-breath,__NULL__,__NULL__,__NULL__,__NULL__,龙息,60,20,0,Has a $effect_chance% chance to paralyze the target.,0,"将强烈的气息
吹向对手进行攻击。
有时会让对手陷入麻痹状态。",1,4,3,10,16
226,__NULL__,0,0,0,"User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua ring
* both the user’s and target’s effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song’s counter
* power trick
* substitute; the doll’s HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in.",__NULL__,0,0,baton-pass,__NULL__,__NULL__,__NULL__,__NULL__,接棒,__NULL__,40,0,Allows the trainer to switch out the user and pass effects along to its replacement.,0,"和后备宝可梦进行替换。
换上的宝可梦能直接继承
其能力的变化。",0,13,1,7,1
227,100,0,0,0,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target’s last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.",__NULL__,0,0,encore,__NULL__,__NULL__,__NULL__,__NULL__,再来一次,__NULL__,5,0,Forces the target to repeat its last used move every turn for 2 to 6 turns.,0,"让对手接受再来一次，
连续３次使出最后使用的招式。",0,13,1,10,1
228,100,0,0,0,"Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.",__NULL__,0,0,pursuit,__NULL__,__NULL__,__NULL__,__NULL__,追打,40,20,0,"Has double power against, and can hit, Pokémon attempting to switch out.",0,"当对手替换宝可梦上场时
使出此招式的话，
能够以２倍的威力进行攻击。",0,0,2,10,17
229,100,0,0,0,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user’s side of the field.  If this move misses or has no effect, its effect doesn’t activate.",100,0,0,rapid-spin,__NULL__,__NULL__,__NULL__,__NULL__,高速旋转,50,40,0,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",100,"通过旋转来攻击对手。
还可以摆脱绑紧、紧束、
寄生种子和撒菱等招式。",0,7,2,10,1
230,100,0,0,0,Lowers the target’s evasion by one stage.,__NULL__,0,0,sweet-scent,__NULL__,__NULL__,__NULL__,__NULL__,甜甜香气,__NULL__,20,0,Lowers the target’s evasion by one stage.,0,用香气大幅降低对手的闪避率。,0,2,1,11,1
231,75,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,30,0,0,iron-tail,__NULL__,__NULL__,__NULL__,__NULL__,铁尾,100,15,0,Has a $effect_chance% chance to lower the target’s Defense by one stage.,30,"使用坚硬的尾巴
摔打对手进行攻击。
有时会降低对手的防御。",0,6,2,10,9
232,95,0,0,0,Inflicts regular damage. Has a $effect_chance% chance to raise the user’s Attack one stage.,10,0,0,metal-claw,__NULL__,__NULL__,__NULL__,__NULL__,金属爪,50,35,0,Has a $effect_chance% chance to raise the user’s Attack by one stage.,10,"用钢铁之爪
劈开对手进行攻击。
有时会提高自己的攻击。",0,7,2,10,9
233,__NULL__,0,0,0,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,__NULL__,0,0,vital-throw,__NULL__,__NULL__,__NULL__,__NULL__,借力摔,70,10,-1,Never misses.,0,"会在对手之后进行攻击。
但是自己的攻击必定会命中。",0,0,2,10,2
234,__NULL__,0,0,0,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",__NULL__,0,50,morning-sun,__NULL__,__NULL__,__NULL__,__NULL__,晨光,__NULL__,5,0,Heals the user by half its max HP.  Affected by weather.,0,"回复自己的ＨＰ。
根据天气的不同，
回复量也会有所变化。",0,3,1,7,1
235,__NULL__,0,0,0,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",__NULL__,0,50,synthesis,__NULL__,__NULL__,__NULL__,__NULL__,光合作用,__NULL__,5,0,Heals the user by half its max HP.  Affected by weather.,0,"回复自己的ＨＰ。
根据天气的不同，
回复量也会有所变化。",0,3,1,7,12
236,__NULL__,0,0,0,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",__NULL__,0,50,moonlight,__NULL__,__NULL__,__NULL__,__NULL__,月光,__NULL__,5,0,Heals the user by half its max HP.  Affected by weather.,0,"回复自己的ＨＰ。
根据天气的不同，
回复量也会有所变化。",0,3,1,7,18
237,100,0,0,0,"Inflicts regular damage.  Power and type are determined by the user’s IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",__NULL__,0,0,hidden-power,__NULL__,__NULL__,__NULL__,__NULL__,觉醒力量,60,15,0,Power and type depend upon user’s IVs.  Power can range from 30 to 70.,0,"招式的属性会随着
使用此招式的宝可梦而改变。",0,0,3,10,1
238,80,0,1,0,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,__NULL__,0,0,cross-chop,__NULL__,__NULL__,__NULL__,__NULL__,十字劈,100,5,0,Has an increased chance for a critical hit.,0,"用两手呈十字
劈打对手进行攻击。
容易击中要害。",0,0,2,10,2
239,100,0,0,0,"Inflicts regular damage.  Has a $effect_chance% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",20,20,0,twister,__NULL__,__NULL__,__NULL__,__NULL__,龙卷风,40,20,0,Has a $effect_chance% chance to make the target flinch.,0,"兴起龙卷风，
将对手卷入进行攻击。
有时会使对手畏缩。",0,0,3,11,16
240,__NULL__,0,0,0,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.

Pokémon with swift swim have doubled original Speed.

Pokémon with forecast become water.

Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.",__NULL__,0,0,rain-dance,__NULL__,__NULL__,__NULL__,__NULL__,求雨,__NULL__,5,0,Changes the weather to rain for five turns.,0,"在５回合内一直降雨，
从而提高水属性的招式威力。
火属性的招式威力则降低。",0,10,1,12,11
241,__NULL__,0,0,0,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user’s max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",__NULL__,0,0,sunny-day,__NULL__,__NULL__,__NULL__,__NULL__,大晴天,__NULL__,5,0,Changes the weather to sunny for five turns.,0,"在５回合内阳光变得强烈，
从而提高火属性的招式威力。
水属性的招式威力则降低。",0,10,1,12,10
242,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,20,0,0,crunch,__NULL__,__NULL__,__NULL__,__NULL__,咬碎,80,15,0,Has a $effect_chance% chance to lower the target’s Defense by one stage.,20,"用利牙咬碎对手进行攻击。
有时会降低对手的防御。",0,6,2,10,17
243,100,0,0,0,"Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",__NULL__,0,0,mirror-coat,__NULL__,__NULL__,__NULL__,__NULL__,镜面反射,__NULL__,20,-5,Inflicts twice the damage the user received from the last special hit it took.,0,"从对手那里受到
特殊攻击的伤害将以
２倍返还给同一个对手。",0,0,3,1,14
244,__NULL__,0,0,0,"Discards the user’s stat changes and copies the target’s.

This move cannot be copied by mirror move.",__NULL__,0,0,psych-up,__NULL__,__NULL__,__NULL__,__NULL__,自我暗示,__NULL__,10,0,Discards the user’s stat changes and copies the target’s.,0,"向自己施以自我暗示，
将能力变化的状态
变得和对手一样。",0,13,1,10,1
245,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,extreme-speed,__NULL__,__NULL__,__NULL__,__NULL__,神速,80,5,2,Inflicts regular damage with no additional effect.,0,"以迅雷不及掩耳之势
猛撞向对手进行攻击。
必定能够先制攻击。",0,0,2,10,1
246,100,0,0,0,Inflicts regular damage. Has a $effect_chance% chance to raise all of the user’s stats one stage.,10,0,0,ancient-power,__NULL__,__NULL__,__NULL__,__NULL__,原始之力,60,5,0,Has a $effect_chance% chance to raise all of the user’s stats by one stage.,10,"用原始之力进行攻击。
有时会提高
自己所有的能力。",0,7,3,10,6
247,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,20,0,0,shadow-ball,__NULL__,__NULL__,__NULL__,__NULL__,暗影球,80,15,0,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,20,"投掷一团黑影进行攻击。
有时会降低对手的特防。",0,6,3,10,8
248,100,0,0,0,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won’t change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",__NULL__,0,0,future-sight,__NULL__,__NULL__,__NULL__,__NULL__,预知未来,120,10,0,Hits the target two turns later.,0,"在使用招式２回合后，
向对手发送一团念力进行攻击。",0,13,3,10,14
249,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,50,0,0,rock-smash,__NULL__,__NULL__,__NULL__,__NULL__,碎岩,40,15,0,Has a $effect_chance% chance to lower the target’s Defense by one stage.,50,"用拳头进行攻击。
有时会降低对手的防御。",0,6,2,10,2
250,85,100,0,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power.",100,0,0,whirlpool,__NULL__,6,__NULL__,5,潮旋,35,15,0,Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,0,"将对手困在激烈的
水流旋涡中，
在４～５回合内进行攻击。",8,4,3,10,11
251,100,0,0,0,"Inflicts typeless regular damage.  Every Pokémon in the user’s party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.

This effect breaks through wonder guard.",__NULL__,0,0,beat-up,6,__NULL__,6,__NULL__,围攻,__NULL__,10,0,Hits once for every conscious Pokémon the trainer has.,0,"我方全员进行攻击。
同行的宝可梦越多，
招式的攻击次数越多。",0,0,2,10,17
252,100,0,0,0,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user’s first turn after entering the field.,100,100,0,fake-out,__NULL__,__NULL__,__NULL__,__NULL__,击掌奇袭,40,10,3,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,0,"进行先制攻击，使对手畏缩。
要在出场后立刻使出才能成功。",0,0,2,10,1
253,100,0,0,0,"Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.

Pokémon cannot use rest during this effect.

This move cannot be selected by sleep talk.",__NULL__,0,0,uproar,__NULL__,3,__NULL__,3,吵闹,90,10,0,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,0,"在３回合内
用骚乱攻击对手。
在此期间谁都不能入眠。",0,0,3,8,1
254,__NULL__,0,0,0,"Raises the user’s Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not.",__NULL__,0,0,stockpile,__NULL__,__NULL__,__NULL__,__NULL__,蓄力,__NULL__,20,0,Stores energy up to three times for use with Spit Up and Swallow.,0,"积蓄力量，
提高自己的防御和特防。
最多积蓄３次。",0,13,1,7,1
255,100,0,0,0,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by mirror move.",__NULL__,0,0,spit-up,__NULL__,__NULL__,__NULL__,__NULL__,喷出,__NULL__,10,0,Power is 100 times the amount of energy Stockpiled.,0,"将积蓄的力量
撞向对手进行攻击。
积蓄得越多，威力越大。",0,0,3,10,1
256,__NULL__,0,0,0,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.",__NULL__,0,25,swallow,__NULL__,__NULL__,__NULL__,__NULL__,吞下,__NULL__,10,0,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",0,"将积蓄的力量吞下，
从而回复自己的ＨＰ。
积蓄得越多，回复越大。",0,3,1,7,1
257,90,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10,0,0,heat-wave,__NULL__,__NULL__,__NULL__,__NULL__,热风,95,10,0,Has a $effect_chance% chance to burn the target.,0,"将炎热的气息
吹向对手进行攻击。
有时会让对手陷入灼伤状态。",4,4,3,11,10
284,100,0,0,0,"Inflicts regular damage.  Power increases with the user’s remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.",__NULL__,0,0,eruption,__NULL__,__NULL__,__NULL__,__NULL__,喷火,150,5,0,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",0,"爆发怒火攻击对手。
自己的ＨＰ越少，
招式的威力越小。",0,0,3,11,10
258,__NULL__,0,0,0,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.

Pokémon with snow cloak are exempt from this effect’s damage.",__NULL__,0,0,hail,__NULL__,__NULL__,__NULL__,__NULL__,冰雹,__NULL__,10,0,Changes the weather to a hailstorm for five turns.,0,"在５回合内一直降冰雹，
除冰属性的宝可梦以外，
给予全体宝可梦伤害。",0,10,1,12,15
259,100,0,0,0,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.

If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn’t use that move this turn.",__NULL__,0,0,torment,__NULL__,__NULL__,__NULL__,__NULL__,无理取闹,__NULL__,15,0,Prevents the target from using the same move twice in a row.,0,"向对手无理取闹，
令其不能连续２次
使出相同招式。",12,1,1,10,17
260,100,0,0,0,"Raises the target’s Special Attack by one stage, then confuses it.",__NULL__,0,0,flatter,__NULL__,5,__NULL__,2,吹捧,__NULL__,15,0,Raises the target’s Special Attack by one stage and confuses the target.,0,"吹捧对手，使其混乱。
同时还会提高对手的特攻。",6,5,1,10,17
261,85,0,0,0,Burns the target.,__NULL__,0,0,will-o-wisp,__NULL__,__NULL__,__NULL__,__NULL__,鬼火,__NULL__,15,0,Burns the target.,0,"放出怪异的火焰，
从而让对手陷入灼伤状态。",4,1,1,10,10
262,100,0,0,0,Lowers the target’s Attack and Special Attack by two stages.  User faints.,__NULL__,0,0,memento,__NULL__,__NULL__,__NULL__,__NULL__,临别礼物,__NULL__,10,0,Lowers the target’s Attack and Special Attack by two stages.  User faints.,0,"虽然会使自己陷入濒死，
但是能够大幅降低
对手的攻击和特攻。",0,13,1,10,17
263,100,0,0,0,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power.",__NULL__,0,0,facade,__NULL__,__NULL__,__NULL__,__NULL__,硬撑,70,20,0,"Power doubles if user is burned, paralyzed, or poisoned.",0,"当自己处于中毒、麻痹、灼伤状态时，
向对手使出此招式的话，
威力会变成２倍。",0,0,2,10,1
264,100,0,0,0,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",__NULL__,0,0,focus-punch,__NULL__,__NULL__,__NULL__,__NULL__,真气拳,150,20,-3,"If the user takes damage before attacking, the attack is canceled.",0,"集中精神出拳。
在招式使出前
若受到攻击则会失败。",0,0,2,10,2
265,100,0,0,0,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis.",__NULL__,0,0,smelling-salts,__NULL__,__NULL__,__NULL__,__NULL__,清醒,70,10,0,"If the target is paralyzed, inflicts double damage and cures the paralysis.",0,"对于麻痹状态下的对手，
威力会变成２倍。
但相反对手的麻痹也会被治愈。",0,0,2,10,1
266,__NULL__,0,0,0,"Until the end of this turn, any moves that opposing Pokémon target solely at the user’s ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user’s ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome.",__NULL__,0,0,follow-me,__NULL__,__NULL__,__NULL__,__NULL__,看我嘛,__NULL__,20,2,Redirects the target’s single-target effects to the user for this turn.,0,"引起对手的注意，
将对手的攻击
全部转移到自己身上。",0,13,1,7,1
267,__NULL__,0,0,0,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move.",__NULL__,0,0,nature-power,__NULL__,__NULL__,__NULL__,__NULL__,自然之力,__NULL__,20,0,Uses a move which depends upon the terrain.,0,"用自然之力进行攻击。
根据所使用场所的不同，
使出的招式也会有所变化。",0,13,1,10,1
268,__NULL__,0,0,0,"Raises the user’s Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled.",__NULL__,0,0,charge,__NULL__,__NULL__,__NULL__,__NULL__,充电,__NULL__,20,0,Raises the user’s Special Defense by one stage.  User’s Electric moves have doubled power next turn.,0,"提高下一回合使出的
电属性的招式威力。
自己的特防也会提高。",0,2,1,7,13
269,100,0,0,0,"Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.

bide, counter, endeavor, metal burst, and mirror coat are allowed.",__NULL__,0,0,taunt,__NULL__,__NULL__,__NULL__,__NULL__,挑衅,__NULL__,20,0,"For the next few turns, the target can only use damaging moves.",0,"使对手愤怒。
在３回合内让对手
只能使出给予伤害的招式。",0,13,1,10,17
270,__NULL__,0,0,0,"Boosts the power of the target’s moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome.",__NULL__,0,0,helping-hand,__NULL__,__NULL__,__NULL__,__NULL__,帮助,__NULL__,20,5,Ally’s next move inflicts half more damage.,0,"帮助伙伴。
被帮助的宝可梦，
其招式威力变得比平时大。",0,13,1,3,1
