id,code,name,element_id,damage_class_id,accuracy,power,pp,priority,effect_chance,enabled
511,quash,延后,17,1,100,,15,0,,true
512,acrobatics,杂技,3,2,100,55,15,0,,true
513,reflect-type,镜面属性,1,1,,,15,0,,true
514,retaliate,报仇,1,2,100,70,5,0,,true
515,final-gambit,搏命,2,3,100,,5,0,,true
516,bestow,传递礼物,1,1,,,15,0,,true
517,inferno,炼狱,10,3,50,100,5,0,100,true
518,water-pledge,水之誓约,11,3,100,80,10,0,,true
519,fire-pledge,火之誓约,10,3,100,80,10,0,,true
520,grass-pledge,草之誓约,12,3,100,80,10,0,,true
521,volt-switch,伏特替换,13,3,100,70,20,0,,true
522,struggle-bug,虫之抵抗,7,3,100,50,20,0,100,true
523,bulldoze,重踏,5,2,100,60,20,0,100,true
524,frost-breath,冰息,15,3,90,60,10,0,100,true
525,dragon-tail,龙尾,16,2,90,60,10,-6,,true
526,work-up,自我激励,1,1,,,30,0,,true
527,electroweb,电网,13,3,95,55,15,0,100,true
528,wild-charge,疯狂伏特,13,2,100,90,15,0,,true
529,drill-run,直冲钻,5,2,95,80,10,0,,true
530,dual-chop,二连劈,16,2,90,40,15,0,,true
531,heart-stamp,爱心印章,14,2,100,60,25,0,30,true
532,horn-leech,木角,12,2,100,75,10,0,,true
533,sacred-sword,圣剑,2,2,100,90,15,0,,true
534,razor-shell,贝壳刃,11,2,95,75,10,0,50,true
535,heat-crash,高温重压,10,2,100,,10,0,,true
536,leaf-tornado,青草搅拌器,12,3,90,65,10,0,50,true
537,steamroller,疯狂滚压,7,2,100,65,20,0,30,true
538,cotton-guard,棉花防守,12,1,,,10,0,,true
539,night-daze,暗黑爆破,17,3,95,85,10,0,40,true
540,psystrike,精神击破,14,3,100,100,10,0,,true
541,tail-slap,扫尾拍打,1,2,85,25,10,0,,true
542,hurricane,暴风,3,3,70,110,10,0,30,true
543,head-charge,爆炸头突击,1,2,100,120,15,0,,true
544,gear-grind,齿轮飞盘,9,2,85,50,15,0,,true
545,searing-shot,火焰弹,10,3,100,100,5,0,30,true
546,techno-blast,高科技光炮,1,3,100,120,5,0,,true
547,relic-song,古老之歌,1,3,100,75,10,0,10,true
548,secret-sword,神秘之剑,2,3,100,85,10,0,,true
549,glaciate,冰封世界,15,3,95,65,10,0,100,true
550,bolt-strike,雷击,13,2,85,130,5,0,20,true
551,blue-flare,青焰,10,3,85,130,5,0,20,true
552,fiery-dance,火之舞,10,3,100,80,10,0,50,true
553,freeze-shock,冰冻伏特,15,2,90,140,5,0,30,true
554,ice-burn,极寒冷焰,15,3,90,140,5,0,30,true
555,snarl,大声咆哮,17,3,95,55,15,0,100,true
556,icicle-crash,冰柱坠击,15,2,90,85,10,0,30,true
557,v-create,Ｖ热焰,10,2,95,180,5,0,100,true
558,fusion-flare,交错火焰,10,3,100,100,5,0,,true
559,fusion-bolt,交错闪电,13,2,100,100,5,0,,true
560,flying-press,飞身重压,2,2,95,100,10,0,,true
561,mat-block,掀榻榻米,2,1,,,10,0,,true
562,belch,打嗝,4,3,90,120,10,0,,true
563,rototiller,耕地,5,1,,,10,0,100,true
564,sticky-web,黏黏网,7,1,,,20,0,,true
565,fell-stinger,致命针刺,7,2,100,50,25,0,,true
566,phantom-force,潜灵奇袭,8,2,100,90,10,0,,true
567,trick-or-treat,万圣夜,8,1,100,,20,0,,true
568,noble-roar,战吼,1,1,100,,30,0,100,true
569,ion-deluge,等离子浴,13,1,,,25,1,,true
570,parabolic-charge,抛物面充电,13,3,100,65,20,0,,true
571,forests-curse,森林诅咒,12,1,100,,20,0,,true
572,petal-blizzard,落英缤纷,12,2,100,90,15,0,,true
573,freeze-dry,冷冻干燥,15,3,100,70,20,0,10,true
574,disarming-voice,魅惑之声,18,3,,40,15,0,,true
575,parting-shot,抛下狠话,17,1,100,,20,0,100,true
576,topsy-turvy,颠倒,17,1,,,20,0,,true
577,draining-kiss,吸取之吻,18,3,100,50,10,0,,true
578,crafty-shield,戏法防守,18,1,,,10,3,,true
579,flower-shield,鲜花防守,18,1,,,10,0,100,true
580,grassy-terrain,青草场地,12,1,,,10,0,,true
581,misty-terrain,薄雾场地,18,1,,,10,0,,true
582,electrify,输电,13,1,,,20,0,,true
583,play-rough,嬉闹,18,2,90,90,10,0,10,true
584,fairy-wind,妖精之风,18,3,100,40,30,0,,true
585,moonblast,月亮之力,18,3,100,95,15,0,30,true
586,boomburst,爆音波,1,3,100,140,10,0,,true
587,fairy-lock,妖精之锁,18,1,,,10,0,,true
588,kings-shield,王者盾牌,9,1,,,10,4,,true
589,play-nice,和睦相处,1,1,,,20,0,100,true
590,confide,密语,1,1,,,20,0,100,true
591,diamond-storm,钻石风暴,6,2,95,100,5,0,50,true
592,steam-eruption,蒸汽爆炸,11,3,95,110,5,0,30,true
593,hyperspace-hole,异次元洞,14,3,,80,5,0,,true
594,water-shuriken,飞水手里剑,11,3,100,15,20,1,,true
595,mystical-fire,魔法火焰,10,3,100,75,10,0,100,true
596,spiky-shield,尖刺防守,12,1,,,10,4,,true
597,aromatic-mist,芳香薄雾,18,1,,,20,0,,true
598,eerie-impulse,怪异电波,13,1,100,,15,0,,true
599,venom-drench,毒液陷阱,4,1,100,,20,0,100,true
600,powder,粉尘,7,1,100,,20,1,,true
601,geomancy,大地掌控,18,1,,,10,0,,true
602,magnetic-flux,磁场操控,13,1,,,20,0,,true
603,happy-hour,欢乐时光,1,1,,,30,0,,true
604,electric-terrain,电气场地,13,1,,,10,0,,true
605,dazzling-gleam,魔法闪耀,18,3,100,80,10,0,,true
606,celebrate,庆祝,1,1,,,40,0,,true
607,hold-hands,牵手,1,1,,,40,0,,true
608,baby-doll-eyes,圆瞳,18,1,100,,30,1,,true
609,nuzzle,蹭蹭脸颊,13,2,100,20,20,0,100,true
610,hold-back,手下留情,1,2,100,40,40,0,,true
611,infestation,死缠烂打,7,3,100,20,20,0,100,true
612,power-up-punch,增强拳,2,2,100,40,20,0,100,true
613,oblivion-wing,死亡之翼,3,3,100,80,10,0,,true
614,thousand-arrows,千箭齐发,5,2,100,90,10,0,100,true
615,thousand-waves,千波激荡,5,2,100,90,10,0,,true
616,lands-wrath,大地神力,5,2,100,90,10,0,,true
617,light-of-ruin,破灭之光,18,3,90,140,5,0,,true
618,origin-pulse,根源波动,11,3,85,110,10,0,,true
619,precipice-blades,断崖之剑,5,2,85,120,10,0,,true
620,dragon-ascent,画龙点睛,3,2,100,120,5,0,100,true
621,hyperspace-fury,异次元猛攻,17,2,,100,5,0,100,true
622,breakneck-blitz--physical,究极无敌大冲撞,1,2,,,1,0,,true
623,breakneck-blitz--special,究极无敌大冲撞,1,3,,,1,0,,true
624,all-out-pummeling--physical,全力无双激烈拳,2,2,,,1,0,,true
625,all-out-pummeling--special,全力无双激烈拳,2,3,,,1,0,,true
626,supersonic-skystrike--physical,极速俯冲轰烈撞,3,2,,,1,0,,true
627,supersonic-skystrike--special,极速俯冲轰烈撞,3,3,,,1,0,,true
628,acid-downpour--physical,强酸剧毒灭绝雨,4,2,,,1,0,,true
629,acid-downpour--special,强酸剧毒灭绝雨,4,3,,,1,0,,true
630,tectonic-rage--physical,地隆啸天大终结,5,2,,,1,0,,true
631,tectonic-rage--special,地隆啸天大终结,5,3,,,1,0,,true
632,continental-crush--physical,毁天灭地巨岩坠,6,2,,,1,0,,true
633,continental-crush--special,毁天灭地巨岩坠,6,3,,,1,0,,true
634,savage-spin-out--physical,绝对捕食回旋斩,7,2,,,1,0,,true
635,savage-spin-out--special,绝对捕食回旋斩,7,3,,,1,0,,true
636,never-ending-nightmare--physical,无尽暗夜之诱惑,8,2,,,1,0,,true
637,never-ending-nightmare--special,无尽暗夜之诱惑,8,3,,,1,0,,true
638,corkscrew-crash--physical,超绝螺旋连击,9,2,,,1,0,,true
639,corkscrew-crash--special,超绝螺旋连击,9,3,,,1,0,,true
640,inferno-overdrive--physical,超强极限爆焰弹,10,2,,,1,0,,true
641,inferno-overdrive--special,超强极限爆焰弹,10,3,,,1,0,,true
642,hydro-vortex--physical,超级水流大漩涡,11,2,,,1,0,,true
643,hydro-vortex--special,超级水流大漩涡,11,3,,,1,0,,true
644,bloom-doom--physical,绚烂缤纷花怒放,12,2,,,1,0,,true
645,bloom-doom--special,绚烂缤纷花怒放,12,3,,,1,0,,true
646,gigavolt-havoc--physical,终极伏特狂雷闪,13,2,,,1,0,,true
647,gigavolt-havoc--special,终极伏特狂雷闪,13,3,,,1,0,,true
648,shattered-psyche--physical,至高精神破坏波,14,2,,,1,0,,true
649,shattered-psyche--special,至高精神破坏波,14,3,,,1,0,,true
650,subzero-slammer--physical,激狂大地万里冰,15,2,,,1,0,,true
651,subzero-slammer--special,激狂大地万里冰,15,3,,,1,0,,true
652,devastating-drake--physical,究极巨龙震天地,16,2,,,1,0,,true
653,devastating-drake--special,究极巨龙震天地,16,3,,,1,0,,true
654,black-hole-eclipse--physical,黑洞吞噬万物灭,17,2,,,1,0,,true
655,black-hole-eclipse--special,黑洞吞噬万物灭,17,3,,,1,0,,true
656,twinkle-tackle--physical,可爱星星飞天撞,18,2,,,1,0,,true
657,twinkle-tackle--special,可爱星星飞天撞,18,3,,,1,0,,true
658,catastropika,皮卡皮卡必杀击,13,2,,210,1,0,,true
659,shore-up,集沙,5,1,,,5,0,,true
660,first-impression,迎头一击,7,2,100,90,10,2,,true
661,baneful-bunker,碉堡,4,1,,,10,4,,true
662,spirit-shackle,缝影,8,2,100,80,10,0,,true
663,darkest-lariat,ＤＤ金勾臂,17,2,100,85,10,0,,true
664,sparkling-aria,泡影的咏叹调,11,3,100,90,10,0,,true
665,ice-hammer,冰锤,15,2,90,100,10,0,100,true
666,floral-healing,花疗,18,1,,,10,0,,true
667,high-horsepower,十万马力,5,2,95,95,10,0,,true
668,strength-sap,吸取力量,12,1,100,,10,0,100,true
669,solar-blade,日光刃,12,2,100,125,10,0,,true
670,leafage,树叶,12,2,100,40,40,0,,true
671,spotlight,聚光灯,1,1,,,15,3,,true
672,toxic-thread,毒丝,4,1,100,,20,0,100,true
673,laser-focus,磨砺,1,1,,,30,0,,true
674,gear-up,辅助齿轮,9,1,,,20,0,,true
675,throat-chop,地狱突刺,17,2,100,80,15,0,100,true
676,pollen-puff,花粉团,7,3,100,90,15,0,,true
677,anchor-shot,掷锚,9,2,100,80,20,0,,true
678,psychic-terrain,精神场地,14,1,,,10,0,,true
679,lunge,猛扑,7,2,100,80,15,0,100,true
680,fire-lash,火焰鞭,10,2,100,80,15,0,100,true
681,power-trip,嚣张,17,2,100,20,10,0,,true
682,burn-up,燃尽,10,3,100,130,5,0,,true
683,speed-swap,速度互换,14,1,,,10,0,,true
684,smart-strike,修长之角,9,2,,70,10,0,,true
685,purify,净化,4,1,,,20,0,,true
686,revelation-dance,觉醒之舞,1,3,100,90,15,0,,true
687,core-enforcer,核心惩罚者,16,3,100,100,10,0,,true
688,trop-kick,热带踢,12,2,100,70,15,0,100,true
689,instruct,号令,14,1,,,15,0,,true
690,beak-blast,鸟嘴加农炮,3,2,100,100,15,-3,,true
691,clanging-scales,鳞片噪音,16,3,100,110,5,0,100,true
692,dragon-hammer,龙锤,16,2,100,90,15,0,,true
693,brutal-swing,狂舞挥打,17,2,100,60,20,0,,true
694,aurora-veil,极光幕,15,1,,,20,0,,true
695,sinister-arrow-raid,遮天蔽日暗影箭,8,2,,180,1,0,,true
696,malicious-moonsault,极恶飞跃粉碎击,17,2,,180,1,0,,true
697,oceanic-operetta,海神庄严交响乐,11,3,,195,1,0,,true
698,guardian-of-alola,巨人卫士・阿罗拉,18,3,,,1,0,,true
699,soul-stealing-7-star-strike,七星夺魂腿,8,2,,195,1,0,,true
700,stoked-sparksurfer,驾雷驭电戏冲浪,13,3,,175,1,0,100,true
701,pulverizing-pancake,认真起来大爆击,1,2,,210,1,0,,true
702,extreme-evoboost,九彩升华齐聚顶,1,1,,,1,0,100,true
703,genesis-supernova,起源超新星大爆炸,14,3,,185,1,0,,true
704,shell-trap,陷阱甲壳,10,3,100,150,5,-3,,true
705,fleur-cannon,花朵加农炮,18,3,90,130,5,0,100,true
706,psychic-fangs,精神之牙,14,2,100,85,10,0,,true
707,stomping-tantrum,跺脚,5,2,100,75,10,0,,true
708,shadow-bone,暗影之骨,8,2,100,85,10,0,20,true
709,accelerock,冲岩,6,2,100,40,20,1,,true
710,liquidation,水流裂破,11,2,100,85,10,0,20,true
711,prismatic-laser,棱镜镭射,14,3,100,160,10,0,,true
712,spectral-thief,暗影偷盗,8,2,100,90,10,0,,true
713,sunsteel-strike,流星闪冲,9,2,100,100,5,0,,true
714,moongeist-beam,暗影之光,8,3,100,100,5,0,,true
715,tearful-look,泪眼汪汪,1,1,,,20,0,100,true
716,zing-zap,麻麻刺刺,13,2,100,80,10,0,30,true
717,natures-madness,自然之怒,18,3,90,,10,0,,true
718,multi-attack,多属性攻击,1,2,100,120,10,0,,true
719,10-000-000-volt-thunderbolt,千万伏特,13,3,,195,1,0,,true
720,mind-blown,惊爆大头,10,3,100,150,5,0,,true
721,plasma-fists,等离子闪电拳,13,2,100,100,15,0,,true
722,photon-geyser,光子喷涌,14,3,100,100,5,0,,true
723,light-that-burns-the-sky,焚天灭世炽光爆,14,3,,200,1,0,,true
724,searing-sunraze-smash,日光回旋下苍穹,9,2,,200,1,0,,true
725,menacing-moonraze-maelstrom,月华飞溅落灵霄,8,3,,200,1,0,,true
726,lets-snuggle-forever,亲密无间大乱揍,18,2,,190,1,0,,true
727,splintered-stormshards,狼啸石牙飓风暴,6,2,,190,1,0,,true
728,clangorous-soulblaze,炽魂热舞烈音爆,16,3,,185,1,0,100,true
729,zippy-zap,电电加速,13,2,100,80,10,2,100,true
730,splishy-splash,滔滔冲浪,11,3,100,90,15,0,30,true
731,floaty-fall,飘飘坠落,3,2,95,90,15,0,30,true
732,pika-papow,闪闪雷光,13,3,,,20,0,,true
733,bouncy-bubble,活活气泡,11,3,100,60,20,0,,true
734,buzzy-buzz,麻麻电击,13,3,100,60,20,0,100,true
735,sizzly-slide,熊熊火爆,10,2,100,60,20,0,100,true
736,glitzy-glow,哗哗气场,14,3,95,80,15,0,,true
737,baddy-bad,坏坏领域,17,3,95,80,15,0,,true
738,sappy-seed,茁茁轰炸,12,2,90,100,10,0,100,true
739,freezy-frost,冰冰霜冻,15,3,90,100,10,0,,true
740,sparkly-swirl,亮亮风暴,18,3,85,120,5,0,,true
741,veevee-volley,砰砰击破,1,2,,,20,0,,true
742,double-iron-bash,钢拳双击,9,2,100,60,5,0,30,true
743,max-guard,极巨防壁,1,1,,,10,4,,true
744,dynamax-cannon,极巨炮,16,3,100,100,5,0,,true
745,snipe-shot,狙击,11,3,100,80,15,0,,true
746,jaw-lock,紧咬不放,17,2,100,80,10,0,,true
747,stuff-cheeks,大快朵颐,1,1,,,10,0,100,true
748,no-retreat,背水一战,2,1,,,5,0,100,true
749,tar-shot,沥青射击,6,1,100,,15,0,100,true
750,magic-powder,魔法粉,14,1,100,,20,0,,true
751,dragon-darts,龙箭,16,2,100,50,10,0,,true
752,teatime,茶会,1,1,,,10,0,,true
753,octolock,蛸固,2,1,100,,15,0,,true
754,bolt-beak,电喙,13,2,100,85,10,0,,true
755,fishious-rend,鳃咬,11,2,100,85,10,0,,true
756,court-change,换场,1,1,100,,10,0,,true
757,max-flare,极巨火爆,10,2,,100,10,0,,true
758,max-flutterby,极巨虫蛊,7,2,,10,10,0,,true
759,max-lightning,极巨闪电,13,2,,10,10,0,,true
760,max-strike,极巨攻击,1,2,,10,10,0,,true
761,max-knuckle,极巨拳斗,2,2,,10,10,0,,true
762,max-phantasm,极巨幽魂,8,2,,10,10,0,,true
763,max-hailstorm,极巨寒冰,15,2,,10,10,0,,true
764,max-ooze,极巨酸毒,4,2,,10,10,0,,true
765,max-geyser,极巨水流,11,2,,10,10,0,,true
766,max-airstream,极巨飞冲,3,2,,10,10,0,,true
767,max-starfall,极巨妖精,18,2,,10,10,0,,true
768,max-wyrmwind,极巨龙骑,16,2,,10,10,0,,true
769,max-mindstorm,极巨超能,14,2,,10,10,0,,true
770,max-rockfall,极巨岩石,6,2,,10,10,0,,true
771,max-quake,极巨大地,5,2,,10,10,0,,true
772,max-darkness,极巨恶霸,17,2,,10,10,0,,true
773,max-overgrowth,极巨草原,12,2,,10,10,0,,true
774,max-steelspike,极巨钢铁,9,2,,10,10,0,,true
775,clangorous-soul,魂舞烈音爆,16,1,100,,5,0,100,true
776,body-press,扑击,2,2,100,80,10,0,,true
777,decorate,装饰,18,1,,,15,0,100,true
778,drum-beating,鼓击,12,2,100,80,10,0,100,true
779,snap-trap,捕兽夹,12,2,100,35,15,0,100,true
780,pyro-ball,火焰球,10,2,90,120,5,0,10,true
781,behemoth-blade,巨兽斩,9,2,100,100,5,0,,true
782,behemoth-bash,巨兽弹,9,2,100,100,5,0,,true
783,aura-wheel,气场轮,13,2,100,110,10,0,100,true
784,breaking-swipe,广域破坏,16,2,100,60,15,0,100,true
785,branch-poke,木枝突刺,12,2,100,40,40,0,,true
786,overdrive,破音,13,3,100,80,10,0,,true
787,apple-acid,苹果酸,12,3,100,80,10,0,100,true
788,grav-apple,万有引力,12,2,100,80,10,0,100,true
789,spirit-break,灵魂冲击,18,2,100,75,15,0,100,true
790,strange-steam,神奇蒸汽,18,3,95,90,10,0,20,true
791,life-dew,生命水滴,11,1,,,10,0,,true
792,obstruct,拦堵,17,1,100,,10,4,,true
793,false-surrender,假跪真撞,17,2,,80,10,0,,true
794,meteor-assault,流星突击,2,2,100,150,5,0,,true
795,eternabeam,无极光束,16,3,90,160,5,0,,true
796,steel-beam,铁蹄光线,9,3,95,140,5,0,,true
797,expanding-force,广域战力,14,3,100,80,10,0,,true
798,steel-roller,铁滚轮,9,2,100,130,5,0,,true
799,scale-shot,鳞射,16,2,90,25,20,0,,true
800,meteor-beam,流星光束,6,3,90,120,10,0,100,true
801,shell-side-arm,臂贝武器,4,3,100,90,10,0,20,true
802,misty-explosion,薄雾炸裂,18,3,100,100,5,0,,true
803,grassy-glide,青草滑梯,12,2,100,55,20,0,,true
804,rising-voltage,电力上升,13,3,100,70,20,0,,true
805,terrain-pulse,大地波动,1,3,100,50,10,0,,true
806,skitter-smack,爬击,7,2,90,70,10,0,100,true
807,burning-jealousy,妒火,10,3,100,70,5,0,100,true
808,lash-out,泄愤,17,2,100,75,5,0,,true
809,poltergeist,灵骚,8,2,90,110,5,0,,true
810,corrosive-gas,腐蚀气体,4,1,100,,40,0,,true
811,coaching,指导,2,1,,,10,0,100,true
812,flip-turn,快速折返,11,2,100,60,20,0,,true
813,triple-axel,三旋击,15,2,90,20,10,0,,true
814,dual-wingbeat,双翼,3,2,90,40,10,0,,true
815,scorching-sands,热沙大地,5,3,100,70,10,0,30,true
816,jungle-healing,丛林治疗,12,1,,,10,0,,true
817,wicked-blow,暗冥强击,17,2,100,75,5,0,,true
818,surging-strikes,水流连打,11,2,100,25,5,0,,true
819,thunder-cage,雷电囚笼,13,3,90,80,15,0,100,true
820,dragon-energy,巨龙威能,16,3,100,150,5,0,,true
821,freezing-glare,冰冷视线,14,3,100,90,10,0,10,true
822,fiery-wrath,怒火中烧,17,3,100,90,10,0,20,true
823,thunderous-kick,雷鸣蹴击,2,2,100,90,10,0,100,true
824,glacial-lance,雪矛,15,2,100,120,5,0,,true
825,astral-barrage,星碎,8,3,100,120,5,0,,true
826,eerie-spell,诡异咒语,14,3,100,80,5,0,,true
827,dire-claw,克命爪,4,2,100,80,15,0,,true
828,psyshield-bash,屏障猛攻,14,2,90,70,10,0,,true
829,power-shift,力量转换,1,1,,0,10,0,,true
830,stone-axe,岩斧,6,2,90,65,15,0,,true
831,springtide-storm,阳春风暴,18,3,80,100,5,0,,true
832,mystical-power,神秘之力,14,3,90,70,10,0,,true
833,raging-fury,大愤慨,10,2,100,120,10,0,,true
834,wave-crash,波动冲,11,2,100,120,10,0,,true
835,chloroblast,叶绿爆震,12,3,95,150,5,0,,true
836,mountain-gale,冰山风,15,2,85,100,10,0,,true
837,victory-dance,胜利之舞,2,1,,0,10,0,,true
838,headlong-rush,突飞猛扑,5,2,100,120,5,0,,true
839,barb-barrage,毒千针,4,2,100,60,10,0,,true
840,esper-wing,气场之翼,14,3,100,80,10,0,,true
841,bitter-malice,冤冤相报,8,3,100,75,10,0,,true
842,shelter,闭关,9,1,,0,10,0,,true
843,triple-arrows,三连箭,2,2,100,90,10,0,,true
844,infernal-parade,群魔乱舞,8,3,100,60,15,0,,true
845,ceaseless-edge,秘剑・千重涛,17,2,90,65,15,0,,true
846,bleakwind-storm,枯叶风暴,3,3,80,100,10,0,,true
847,wildbolt-storm,鸣雷风暴,13,3,80,100,10,0,,true
848,sandsear-storm,热沙风暴,5,3,80,100,10,0,,true
849,lunar-blessing,新月祈祷,14,1,,0,5,0,,true
850,take-heart,勇气填充,14,1,,0,10,0,,true
851,tera-blast,太晶爆发,1,3,100,80,10,0,,true
852,silk-trap,线阱,7,1,,0,10,4,,true
853,axe-kick,下压踢,2,2,90,120,10,0,,true
854,last-respects,扫墓,8,2,100,50,10,0,,true
855,lumina-crash,琉光冲激,14,3,100,80,10,0,,true
856,order-up,上菜,16,2,100,80,10,0,,true
857,jet-punch,喷射拳,11,2,100,60,15,1,,true
858,spicy-extract,辣椒精华,12,1,,0,15,0,,true
859,spin-out,疾速转轮,9,2,100,100,5,0,,true
860,population-bomb,鼠数儿,1,2,90,20,10,0,,true
861,ice-spinner,冰旋,15,2,100,80,15,0,,true
862,glaive-rush,巨剑突击,16,2,100,120,5,0,,true
863,revival-blessing,复生祈祷,1,1,,0,1,0,,true
864,salt-cure,盐腌,6,2,100,40,15,0,,true
865,triple-dive,三连钻,11,2,95,30,10,0,,true
866,mortal-spin,晶光转转,4,2,100,30,15,0,,true
867,doodle,描绘,1,1,100,0,10,0,,true
868,fillet-away,甩肉,1,1,,0,10,0,,true
869,kowtow-cleave,仆刀,17,2,,85,10,0,,true
870,flower-trick,千变万花,12,2,,70,10,0,,true
871,torch-song,闪焰高歌,10,3,100,80,10,0,,true
872,aqua-step,流水旋舞,11,2,100,80,10,0,,true
873,raging-bull,怒牛,1,2,100,90,10,0,,true
874,make-it-rain,淘金潮,9,3,100,120,5,0,,true
875,psyblade,精神剑,14,2,100,80,15,0,,true
876,hydro-steam,水蒸气,11,3,100,80,15,0,,true
877,ruination,大灾难,17,3,90,1,10,0,,true
878,collision-course,全开猛撞,2,2,100,100,5,0,,true
879,electro-drift,闪电猛冲,13,3,100,100,5,0,,true
880,shed-tail,断尾,1,1,,0,10,0,,true
881,chilly-reception,冷笑话,15,1,,0,10,0,,true
882,tidy-up,大扫除,1,1,,0,10,0,,true
883,snowscape,雪景,15,1,,0,10,0,,true
884,pounce,虫扑,7,2,100,50,20,0,,true
885,trailblaze,起草,12,2,100,50,20,0,,true
886,chilling-water,泼冷水,11,3,100,50,20,0,,true
887,hyper-drill,强力钻,1,2,100,100,5,0,,true
888,twin-beam,双光束,14,3,100,40,10,0,,true
889,rage-fist,愤怒之拳,8,2,100,50,10,0,,true
890,armor-cannon,铠农炮,10,3,100,120,5,0,,true
891,bitter-blade,悔念剑,10,2,100,90,10,0,,true
892,double-shock,电光双击,13,2,100,120,5,0,,true
893,gigaton-hammer,巨力锤,9,2,100,160,5,0,,true
894,comeuppance,复仇,17,2,100,1,10,0,,true
895,aqua-cutter,水波刀,11,2,100,70,20,0,,true
896,blazing-torque,灼热暴冲,10,2,100,80,10,0,,true
897,wicked-torque,黑暗暴冲,17,2,100,80,10,0,,true
898,noxious-torque,剧毒暴冲,4,2,100,100,10,0,,true
899,combat-torque,格斗暴冲,2,2,100,100,10,0,,true
900,magical-torque,魔法暴冲,18,2,100,100,10,0,,true
901,blood-moon,血月,1,3,100,140,5,0,,true
902,matcha-gotcha,刷刷茶炮,12,3,90,80,15,0,,true
903,syrup-bomb,糖浆炸弹,12,3,85,60,10,0,,true
904,ivy-cudgel,藤棍乱打,12,2,100,100,10,0,,true
905,electro-shot,电光束,13,3,100,130,10,0,,true
906,tera-starstorm,晶光星群,1,3,100,120,5,0,,true
907,fickle-beam,随机光,16,3,100,80,5,0,,true
908,burning-bulwark,火焰守护,10,1,0,0,10,4,,true
909,thunderclap,迅雷,13,3,100,70,5,1,,true
910,mighty-cleave,强刃攻击,6,2,100,95,5,0,,true
911,tachyon-cutter,迅子利刃,9,3,0,50,10,0,,true
912,hard-press,硬压,9,2,100,0,10,0,,true
913,dragon-cheer,龙声鼓舞,16,1,0,0,15,0,,true
914,alluring-voice,魅诱之声,18,3,100,80,10,0,,true
915,temper-flare,豁出去,10,2,100,75,10,0,,true
916,supercell-slam,闪电强袭,13,2,95,100,15,0,,true
917,psychic-noise,精神噪音,14,3,100,75,10,0,,true
918,upper-hand,快手还击,2,2,100,65,15,3,,true
919,malignant-chain,邪毒锁链,4,3,100,100,5,0,,true
10001,shadow-rush,暗影冲刺,10002,2,100,55,,0,,true
10002,shadow-blast,暗影爆破,10002,2,100,80,,0,,true
10003,shadow-blitz,暗影突击,10002,2,100,40,,0,,true
10004,shadow-bolt,暗影电击,10002,3,100,75,,0,10,true
10005,shadow-break,暗影击破,10002,2,100,75,,0,,true
10006,shadow-chill,暗影寒气,10002,3,100,75,,0,10,true
10007,shadow-end,暗影终结,10002,2,60,120,,0,,true
10008,shadow-fire,暗影火焰,10002,3,100,75,,0,10,true
10009,shadow-rave,暗影狂舞,10002,3,100,70,,0,,true
10010,shadow-storm,暗影风暴,10002,3,100,95,,0,,true
10011,shadow-wave,暗影波动,10002,3,100,50,,0,,true
10012,shadow-down,暗影降防,10002,1,100,,,0,,true
10013,shadow-half,暗影折半,10002,3,100,,,0,,true
10014,shadow-hold,暗影束缚,10002,1,,,,0,,true
10015,shadow-mist,暗影迷雾,10002,1,100,,,0,,true
10016,shadow-panic,暗影恐慌,10002,1,90,,,0,,true
10017,shadow-shed,暗影脱壳,10002,1,,,,0,,true
10018,shadow-sky,暗影天空,10002,1,,,,0,,true
