id,internal_name,name,type_id,accuracy,effect_chance,pp,priority,power,move_damage_class_id,move_target_id,text,short_effect,effect,min_hits,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance,move_category_id,move_ailment_id
182,protect,守住,1,,,10,4,,1,7,"完全抵挡
对手的攻击。
连续使出则容易失败。",Prevents any moves from hitting the user this turn.,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",,,0,0,0,0,0,0,13,0
183,mach-punch,音速拳,2,100,,30,1,40,2,10,"以迅雷不及掩耳之势出拳。
必定能够先制攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
184,scary-face,鬼面,1,100,,10,0,,1,10,"用恐怖的脸瞪着对手，
使其害怕，
从而大幅降低对手的速度。",Lowers the target's Speed by two stages.,Lowers the target's Speed by two stages.,,,0,0,0,0,0,0,2,0
185,feint-attack,出奇一击,17,,,20,0,60,2,10,"悄悄地靠近对手，
趁其不备进行殴打。
攻击必定会命中。",Never misses.,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,,,0,0,0,0,0,0,0,0
186,sweet-kiss,天使之吻,18,75,,10,0,,1,10,"像天使般可爱地亲吻对手，
从而使对手混乱。",Confuses the target.,Confuses the target.,,5,0,0,0,0,0,0,1,6
187,belly-drum,腹鼓,1,,,10,0,,1,7,"将自己的ＨＰ减少到
最大ＨＰ的一半，
从而最大限度提高自己的攻击。",User pays half its max HP to max out its Attack.,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail.",,,0,0,0,0,0,0,13,0
188,sludge-bomb,污泥炸弹,4,100,30,10,0,90,3,10,"用污泥投掷对手进行攻击。
有时会让对手陷入中毒状态。",Has a 30% chance to poison the target.,Inflicts regular damage.  Has a 30% chance to poison the target.,,,0,0,0,30,0,0,4,5
189,mud-slap,掷泥,5,100,100,10,0,20,3,10,"向对手的脸等
投掷泥块进行攻击。
会降低对手的命中率。",Has a 100% chance to lower the target's accuracy by one stage.,Inflicts regular damage.  Has a 100% chance to lower the target's accuracy by one stage.,,,0,0,0,0,0,100,6,0
190,octazooka,章鱼桶炮,11,85,50,10,0,65,3,10,"向对手的脸等
喷出墨汁进行攻击。
有时会降低对手的命中率。",Has a 50% chance to lower the target's accuracy by one stage.,Inflicts regular damage.  Has a 50% chance to lower the target's accuracy by one stage.,,,0,0,0,0,0,50,6,0
191,spikes,撒菱,5,,,20,0,,1,6,"在对手的脚下扔撒菱。
对替换出场的对手的宝可梦
给予伤害。","Scatters Spikes, hurting opposing Pokémon that switch in.","Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP.  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.

wonder guard does not block damage from this effect.

rapid spin removes this effect from its user's side of the field.  defog removes this effect from its target's side of the field.",,,0,0,0,0,0,0,11,0
192,zap-cannon,电磁炮,13,50,100,5,0,120,3,10,"发射大炮一样的
电流进行攻击。
让对手陷入麻痹状态。",Has a 100% chance to paralyze the target.,Inflicts regular damage.  Has a 100% chance to paralyze the target.,,,0,0,0,100,0,0,4,1
193,foresight,识破,1,,,40,0,,1,10,"对幽灵属性宝可梦没有效果的招式
以及闪避率高的对手，
使用后变得能够打中。","Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,,,0,0,0,0,0,0,1,17
194,destiny-bond,同命,8,,,5,0,,1,7,"使出招式后，当受到对手攻击
陷入濒死时，对手也会一同濒死。
连续使出则会失败。","If the user faints this turn, the target automatically will, too.","If the user faints before its next move, the Pokémon that fainted it will automatically faint.  End-of-turn damage is ignored.

This move cannot be selected by assist or metronome.",,,0,0,0,0,0,0,13,0
195,perish-song,灭亡之歌,1,,,5,0,,1,14,"倾听歌声的宝可梦
经过３回合陷入濒死。
替换后效果消失。",User and target both faint after three turns.,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon faints.  A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain.

This effect is passed on by baton pass.

This move cannot be copied by mirror move.",,4,0,0,0,0,0,0,1,20
196,icy-wind,冰冻之风,15,95,100,15,0,55,3,11,"将结冰的冷气
吹向对手进行攻击。
会降低对手的速度。",Has a 100% chance to lower the target's Speed by one stage.,Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.,,,0,0,0,0,0,100,6,0
197,detect,看穿,2,,,5,4,,1,7,"完全抵挡
对手的攻击。
连续使出则容易失败。",Prevents any moves from hitting the user this turn.,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",,,0,0,0,0,0,0,13,0
198,bone-rush,骨棒乱打,5,90,,10,0,25,2,10,"用坚硬的骨头
殴打对手进行攻击。
连续攻击２～５次。",Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2,,0,0,0,0,0,0,0,0
199,lock-on,锁定,1,,,5,0,,1,10,"紧紧瞄准对手，
下次攻击必定会打中。",Ensures that the user's next move will hit the target.,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",,,0,0,0,0,0,0,13,0
200,outrage,逆鳞,16,100,,10,0,120,2,8,"在２～３回合内，
乱打一气地进行攻击。
大闹一番后自己会陷入混乱。","Hits every turn for 2-3 turns, then confuses the user.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",,,0,0,0,0,0,0,0,0
201,sandstorm,沙暴,6,,,10,0,,1,12,"在５回合内扬起沙暴，除岩石、地面和
钢属性以外的宝可梦，都会受到伤害。
岩石属性的特防还会提高。",Changes the weather to a sandstorm for five turns.,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon's original Special Defense is raised by 50% for the duration of this effect.

solar beam's power is halved.

moonlight, morning sun, and synthesis only heal 1/4 the user's max HP.",,,0,0,0,0,0,0,10,0
202,giga-drain,终极吸取,12,100,,10,0,75,3,10,"吸取对手的养分进行攻击。
可以回复给予对手
伤害的一半ＨＰ。",Drains half the damage inflicted to heal the user.,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,,,50,0,0,0,0,0,8,0
203,endure,挺住,1,,,10,4,,1,7,"即使受到攻击，
也至少会留下１ＨＰ。
连续使出则容易失败。",Prevents the user's HP from lowering below 1 this turn.,"The user's HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome.",,,0,0,0,0,0,0,13,0
205,rollout,滚动,6,90,,20,0,30,2,10,"在５回合内连续滚动攻击对手。
招式每次击中，威力就会提高。","Power doubles every turn this move is used in succession after the first, resetting after five turns.","Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.",,,0,0,0,0,0,0,0,0
206,false-swipe,点到为止,1,100,,40,0,40,2,10,"对手的ＨＰ
至少会留下１ＨＰ，
如此般手下留情地攻击。",Cannot lower the target's HP below 1.,Inflicts regular damage.  Will not reduce the target's HP below 1.,,,0,0,0,0,0,0,0,0
207,swagger,虚张声势,1,85,,15,0,,1,10,"激怒对手，使其混乱。
因为愤怒，对手的攻击
会大幅提高。",Raises the target's Attack by two stages and confuses the target.,"Raises the target's Attack by two stages, then confuses it.  If the target's Attack cannot be raised by two stages, the confusion is not applied.",,5,0,0,0,0,0,0,5,6
208,milk-drink,喝牛奶,1,,,5,0,,1,7,回复自己最大ＨＰ的一半。,Heals the user by half its max HP.,Heals the user for half its max HP.,,,0,50,0,0,0,0,3,0
209,spark,电光,13,100,30,20,0,65,2,10,"让电流覆盖全身，
猛撞向对手进行攻击。
有时会让对手陷入麻痹状态。",Has a 30% chance to paralyze the target.,Inflicts regular damage.  Has a 30% chance to paralyze the target.,,,0,0,0,30,0,0,4,1
210,fury-cutter,连斩,7,95,,20,0,40,2,10,"用镰刀或爪子等
切斩对手进行攻击。
连续击中，威力就会提高。","Power doubles every turn this move is used in succession after the first, maxing out after five turns.","Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets.",,,0,0,0,0,0,0,0,0
211,steel-wing,钢翼,9,90,10,25,0,70,2,10,"用坚硬的翅膀敲打
对手进行攻击。
有时会提高自己的防御。",Has a 10% chance to raise the user's Defense by one stage.,Inflicts regular damage. Has a 10% chance to raise the user's Defense one stage.,,,0,0,0,0,0,10,7,0
212,mean-look,黑色目光,1,,,5,0,,1,10,"用好似要勾人心魂的黑色目光
一动不动地凝视对手，
使其不能从战斗中逃走。",Prevents the target from leaving battle.,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",,,0,0,0,0,0,0,13,0
213,attract,迷人,1,100,,15,0,,1,10,"♂诱惑♀或♀诱惑♂，
让对手着迷。
对手将很难使出招式。","Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.",,,0,0,0,0,0,0,1,7
214,sleep-talk,梦话,1,,,10,0,,1,7,"从自己已学会的招式中
任意使出１个。
只能在自己睡觉时使用。",Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,"Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",,,0,0,0,0,0,0,13,0
215,heal-bell,治愈铃声,1,,,5,0,,1,13,"让同伴听舒适的铃音，
从而治愈我方全员的异常状态。",Cures the entire party of major status effects.,Removes major status effects and confusion from every Pokémon in the user's party.,,,0,0,0,0,0,0,13,0
216,return,报恩,1,100,,20,0,,2,10,"为了训练家而
全力攻击对手。
亲密度越高，威力越大。","Power increases with happiness, up to a maximum of 102.","Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",,,0,0,0,0,0,0,0,0
217,present,礼物,1,90,,15,0,,2,10,"递给对手设有圈套的
盒子进行攻击。
也有可能回复对手ＨＰ。",Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",,,0,0,0,0,0,0,0,0
218,frustration,迁怒,1,100,,20,0,,2,10,"为了发泄不满而
全力攻击对手。
亲密度越低，威力越大。","Power increases as happiness decreases, up to a maximum of 102.","Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.",,,0,0,0,0,0,0,0,0
219,safeguard,神秘守护,1,,,25,0,,1,4,"在５回合内
被神奇的力量守护，
从而不会陷入异常状态。",Protects the user's field from major status ailments and confusion for five turns.,"Protects Pokémon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",,,0,0,0,0,0,0,11,0
221,sacred-fire,神圣之火,10,95,50,5,0,100,2,10,"用神秘的火焰
烧尽对手进行攻击。
有时会让对手陷入灼伤状态。",Has a 50% chance to burn the target.  Lets frozen Pokémon thaw themselves.,"Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",,,0,0,0,50,0,0,4,4
222,magnitude,震级,5,100,,30,0,,2,9,"晃动地面，攻击自己
周围所有的宝可梦。
招式的威力会有各种变化。",Power varies randomly from 10 to 150.,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig.",,,0,0,0,0,0,0,0,0
223,dynamic-punch,爆裂拳,2,50,100,5,0,100,2,10,"使出浑身力气出拳进行攻击。
必定会使对手混乱。",Has a 100% chance to confuse the target.,Inflicts regular damage.  Has a 100% chance to confuse the target.,,5,0,0,0,100,0,0,4,6
224,megahorn,超级角击,7,85,,10,0,120,2,10,"用坚硬且华丽的角狠狠地
刺入对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
225,dragon-breath,龙息,16,100,30,20,0,60,3,10,"将强烈的气息
吹向对手进行攻击。
有时会让对手陷入麻痹状态。",Has a 30% chance to paralyze the target.,Inflicts regular damage.  Has a 30% chance to paralyze the target.,,,0,0,0,30,0,0,4,1
226,baton-pass,接棒,1,,,40,0,,1,7,"和后备宝可梦进行替换。
换上的宝可梦能直接继承
其能力的变化。",Allows the trainer to switch out the user and pass effects along to its replacement.,"User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua ring
* both the user's and target's effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song's counter
* power trick
* substitute; the doll's HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in.",,,0,0,0,0,0,0,13,0
227,encore,再来一次,1,100,,5,0,,1,10,"让对手接受再来一次，
连续３次使出最后使用的招式。",Forces the target to repeat its last used move every turn for 2 to 6 turns.,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.",,,0,0,0,0,0,0,13,0
228,pursuit,追打,17,100,,20,0,40,2,10,"当对手替换宝可梦上场时
使出此招式的话，
能够以２倍的威力进行攻击。","Has double power against, and can hit, Pokémon attempting to switch out.","Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.",,,0,0,0,0,0,0,0,0
229,rapid-spin,高速旋转,1,100,100,40,0,50,2,10,"通过旋转来攻击对手。
还可以摆脱绑紧、紧束、
寄生种子和撒菱等招式。","Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate.",,,0,0,0,0,0,100,7,0
230,sweet-scent,甜甜香气,1,100,,20,0,,1,11,用香气大幅降低对手的闪避率。,Lowers the target's evasion by one stage.,Lowers the target's evasion by one stage.,,,0,0,0,0,0,0,2,0
231,iron-tail,铁尾,9,75,30,15,0,100,2,10,"使用坚硬的尾巴
摔打对手进行攻击。
有时会降低对手的防御。",Has a 30% chance to lower the target's Defense by one stage.,Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage.,,,0,0,0,0,0,30,6,0
232,metal-claw,金属爪,9,95,10,35,0,50,2,10,"用钢铁之爪
劈开对手进行攻击。
有时会提高自己的攻击。",Has a 10% chance to raise the user's Attack by one stage.,Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.,,,0,0,0,0,0,10,7,0
233,vital-throw,借力摔,2,,,10,-1,70,2,10,"会在对手之后进行攻击。
但是自己的攻击必定会命中。",Never misses.,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,,,0,0,0,0,0,0,0,0
234,morning-sun,晨光,1,,,5,0,,1,7,"回复自己的ＨＰ。
根据天气的不同，
回复量也会有所变化。",Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",,,0,50,0,0,0,0,3,0
235,synthesis,光合作用,12,,,5,0,,1,7,"回复自己的ＨＰ。
根据天气的不同，
回复量也会有所变化。",Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",,,0,50,0,0,0,0,3,0
236,moonlight,月光,18,,,5,0,,1,7,"回复自己的ＨＰ。
根据天气的不同，
回复量也会有所变化。",Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",,,0,50,0,0,0,0,3,0
237,hidden-power,觉醒力量,1,100,,15,0,60,3,10,"招式的属性会随着
使用此招式的宝可梦而改变。",Power and type depend upon user's IVs.  Power can range from 30 to 70.,"Inflicts regular damage.  Power and type are determined by the user's IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",,,0,0,0,0,0,0,0,0
238,cross-chop,十字劈,2,80,,5,0,100,2,10,"用两手呈十字
劈打对手进行攻击。
容易击中要害。",Has an increased chance for a critical hit.,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,,,0,0,1,0,0,0,0,0
239,twister,龙卷风,16,100,20,20,0,40,3,11,"兴起龙卷风，
将对手卷入进行攻击。
有时会使对手畏缩。",Has a 20% chance to make the target flinch.,"Inflicts regular damage.  Has a 20% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",,,0,0,0,0,20,0,0,0
240,rain-dance,求雨,11,,,5,0,,1,12,"在５回合内一直降雨，
从而提高水属性的招式威力。
火属性的招式威力则降低。",Changes the weather to rain for five turns.,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pokémon with swift swim have doubled original Speed.

Pokémon with forecast become water.

Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.",,,0,0,0,0,0,0,10,0
241,sunny-day,大晴天,10,,,5,0,,1,12,"在５回合内阳光变得强烈，
从而提高火属性的招式威力。
水属性的招式威力则降低。",Changes the weather to sunny for five turns.,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",,,0,0,0,0,0,0,10,0
242,crunch,咬碎,17,100,20,15,0,80,2,10,"用利牙咬碎对手进行攻击。
有时会降低对手的防御。",Has a 20% chance to lower the target's Defense by one stage.,Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.,,,0,0,0,0,0,20,6,0
243,mirror-coat,镜面反射,14,100,,20,-5,,3,1,"从对手那里受到
特殊攻击的伤害将以
２倍返还给同一个对手。",Inflicts twice the damage the user received from the last special hit it took.,"Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",,,0,0,0,0,0,0,0,0
244,psych-up,自我暗示,1,,,10,0,,1,10,"向自己施以自我暗示，
将能力变化的状态
变得和对手一样。",Discards the user's stat changes and copies the target's.,"Discards the user's stat changes and copies the target's.

This move cannot be copied by mirror move.",,,0,0,0,0,0,0,13,0
245,extreme-speed,神速,1,100,,5,2,80,2,10,"以迅雷不及掩耳之势
猛撞向对手进行攻击。
必定能够先制攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
246,ancient-power,原始之力,6,100,10,5,0,60,3,10,"用原始之力进行攻击。
有时会提高
自己所有的能力。",Has a 10% chance to raise all of the user's stats by one stage.,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.,,,0,0,0,0,0,10,7,0
247,shadow-ball,暗影球,8,100,20,15,0,80,3,10,"投掷一团黑影进行攻击。
有时会降低对手的特防。",Has a 20% chance to lower the target's Special Defense by one stage.,Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage.,,,0,0,0,0,0,20,6,0
248,future-sight,预知未来,14,100,,10,0,120,3,10,"在使用招式２回合后，
向对手发送一团念力进行攻击。",Hits the target two turns later.,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",,,0,0,0,0,0,0,13,0
249,rock-smash,碎岩,2,100,50,15,0,40,2,10,"用拳头进行攻击。
有时会降低对手的防御。",Has a 50% chance to lower the target's Defense by one stage.,Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.,,,0,0,0,0,0,50,6,0
250,whirlpool,潮旋,11,85,100,15,0,35,3,10,"将对手困在激烈的
水流旋涡中，
在４～５回合内进行攻击。",Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power.",,6,0,0,0,100,0,0,4,8
251,beat-up,围攻,17,100,,10,0,,2,10,"我方全员进行攻击。
同行的宝可梦越多，
招式的攻击次数越多。",Hits once for every conscious Pokémon the trainer has.,"Inflicts typeless regular damage.  Every Pokémon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.

This effect breaks through wonder guard.",6,,0,0,0,0,0,0,0,0
252,fake-out,击掌奇袭,1,100,100,10,3,40,2,10,"进行先制攻击，使对手畏缩。
要在出场后立刻使出才能成功。",Can only be used as the first move after the user enters battle.  Causes the target to flinch.,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.,,,0,0,0,0,100,0,0,0
253,uproar,吵闹,1,100,,10,0,90,3,8,"在３回合内
用骚乱攻击对手。
在此期间谁都不能入眠。",Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,"Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.

Pokémon cannot use rest during this effect.

This move cannot be selected by sleep talk.",,3,0,0,0,0,0,0,0,0
254,stockpile,蓄力,1,,,20,0,,1,7,"积蓄力量，
提高自己的防御和特防。
最多积蓄３次。",Stores energy up to three times for use with Spit Up and Swallow.,"Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not.",,,0,0,0,0,0,0,13,0
