id,item_id,fling_effect_id,effect,short_effect,flavor_text
245,245,,持有：持有者使出效果绝佳的技能时，威力提升20%。,持有：持有者的效果绝佳技能会造成 20% 的额外伤害。,用惯了的黑色带子。 携带后，效果绝佳时的 技能威力就会少量提高。
246,246,,持有：持有者的反射壁和光墙将产生持续八回合而不是五回合的效果。由于该物品影响技能而不是屏障本身，因此如果持有者离开对战或掉落该物品，效果不会丢失。,持有：持有者使用的光墙和反射壁持续 8 轮，而不是 5 轮。,当携带它的精灵 使出光墙或反射壁时， 效果会比平时持续得更长。
247,247,,持有：持有者的技能造成的伤害增加 30%。持有者每回合使用造成伤害的技能时，都会受到最大生命值 10% 的伤害。,持有：持有者的技能会造成 30% 的额外伤害，但会消耗 10% 的最大生命值。,携带后，虽然每次攻击时 ＨＰ少量减少， 但技能的威力会提高。
248,248,,持有：使用弹跳、挖洞、潜水、飞翔、旋风刀、火箭头锤、神鸟猛击或日光束等需要蓄力的招式时，会消耗该道具并跳过蓄力回合。火箭头锤仍会提升防御。,持有：两回合蓄力招式会跳过蓄力回合。使用后消耗。,携带它的精灵仅有１次机会 可以在第１回合使出 需要蓄力的技能。
249,249,1,持有：每回合结束时使持有者剧毒。,持有：在回合结束时对持有者造成有毒。发生中毒伤害后激活。,触碰后会放出毒的神奇宝珠。 携带后，在战斗时会变成剧毒状态。
250,250,2,持有：每回合结束时灼伤持有者。,持有：回合结束时灼伤持有者。灼伤伤害结算后激活。,触碰后会放出热量的神奇宝珠。 携带后，在战斗时会变成灼伤状态。
252,252,,持有：ＨＰ全满时受到会导致濒死的直接伤害，会消耗该道具并至少保留 1 点ＨＰ。该效果可作用于连续招式，但不作用于破灭之愿或预知未来。,持有：ＨＰ全满时可承受一次致命伤害并保留 1 点ＨＰ。,携带后，在ＨＰ全满时， 即便受到可能会导致濒死的技能， 也能仅以１ＨＰ撑过去１次。
253,253,,持有：最后持有者的命中率提高 20%。游戏内描述不正确。,持有：如果持有者在目标之后行动，则命中率提高 1/5 (20%)。,当携带它的精灵比 对手行动迟缓时， 技能会变得容易命中。
254,254,,持有：持有者每次连续使用同一技能，威力会再增加原来的10%，最高可达100%。,持有：连续使用同一攻击可累积伤害提升 10%。最大提升 100%。,携带后，连续使出相同技能时， 威力就会提高。不再使出 相同技能时，威力就会复原。
255,255,,持有：持有者的速度降低 50%。如果持有者处于飞行状态或具有悬浮状态，它会受到地面属性攻击的通常伤害，并且可能受到撒菱和毒菱的影响。,持有：速度减半，并取消飞行或飘浮带来的地面免疫；撒菱和毒菱也会影响持有者。,携带后，速度会降低。 飞行属性以及飘浮精灵 会被地面属性技能击中。
256,256,,持有：持有者将在其技能的优先级范围内最后进行，无论速度如何。如果同一优先级内的多个精灵受到此效果，则速度较慢的精灵将首先出现。持有者会在具有慢出特性的精灵之后行动。如果持有者具有慢出特性，则该特性被忽略。该物品不受戏法空间影响。,持有：持有者在其优先级括号中最后行动。,非常沉重的某种尾巴。 携带后，行动会比平时更加迟缓。
257,257,,持有：当持有者被吸引时，它被吸引的精灵会被吸引回来。,持有：持有者陷入迷恋状态时，对方的精灵会陷入迷恋状态。,长长的鲜红色细线。 携带后，在自己着迷时 能让对手也着迷。
258,258,,持有：如果持有者是毒属性，每回合结束时恢复最大生命值1/16。否则，每回合结束时对持有者造成最大生命值1/16的伤害。,持有：毒系持有者每回合恢复最大生命值1/16（6.25%）。非毒属性受到 1/8 (12.5%) 最大生命值伤害。,携带后，毒属性的精灵 会缓缓回复ＨＰ。 其他属性的话，ＨＰ则会减少。
259,259,,持有：持有者使出的冰雹持续八回合而不是五回合。该物品影响技能产生的天气，因此持有者离场或失去道具后，已经产生的天气持续时间不会改变。,持有：持有者使出的冰雹持续 8 回合，而不是 5 回合。,携带它的精灵使出冰雹的话， 冰雹的时间就会比平时更长。
260,260,,持有：持有者使出的沙暴持续八回合而不是五回合。该物品影响技能产生的天气，因此持有者离场或失去道具后，已经产生的天气持续时间不会改变。,持有：持有者使出的沙暴持续 8 回合，而不是 5 回合。,携带它的精灵使出沙暴的话， 沙暴的时间就会比平时更长。
261,261,,持有者使出大晴天时，晴天持续 8 回合而不是 5 回合。该物品影响招式产生的天气，因此持有者离场或失去道具后，已经产生的天气持续时间不会改变。,持有者使出的大晴天持续 8 回合。,携带它的精灵使出大晴天的话， 晴天的时间就会比平时更长。
262,262,,持有者使出求雨时，雨天持续 8 回合而不是 5 回合。该物品影响招式产生的天气，因此持有者离场或失去道具后，已经产生的天气持续时间不会改变。,持有者使出的求雨持续 8 回合。,携带它的精灵使出求雨的话， 下雨的时间就会比平时更长。
263,263,,持有：将持有者的多回合（2-5回合）技能的持续时间增加三回合。,持有：持有者的多回合诱捕技能持续 5 回合。,携带后，绑紧以及紧束等 会持续造成伤害的技能的 回合数会增加。
264,264,,持有：使持有者的速度提高 50%，但仅限于其使用的第一个技能，直到其离开对战或失去该物品。如果该道具通过戏法或掉包交换为另一个讲究类道具，则持有者的限制仍然会解除，但它将再次受到其使用的下一个技能限制。（特殊情况：如果持有者通过急速折返替换上场，并且它也会急速折返，则急速折返会成为其限制技能。）,持有：速度提高 50%，但限制持有者只能使出一招。,有点讲究的围巾。 虽然携带后速度会提高， 但只能使出相同的技能。
265,265,,持有：每回合结束时，持有者损失最大生命值的 1/8。持有者受到接触技能攻击时，对攻击者造成最大生命值1/8的伤害；如果攻击者没有持有物品，则会拿走该物品。,持有：持有者每回合结束时损失最大生命值的 1/8。受到接触技能攻击时，攻击者受到最大生命值 1/8 的伤害；若攻击者没有持有道具，则会获得该物品。,携带后，每回合都会受到伤害。 有时也会附着到 碰到自己的对手身上。
266,266,,持有：持有者的速度降低 50%。每当持有者从对战中获得攻击努力值时，攻击努力值增加 4 点；此加成在病毒倍增效果之前结算。,持有：持有者获得 4 点攻击努力值，但在对战中速度减半。,虽然携带后速度会降低， 但精灵的攻击 会比平时成长得更高。
267,267,,持有：持有者的速度降低 50%。每当持有者从对战中获得防御努力值时，防御努力值增加 4 点；此加成在病毒倍增效果之前结算。,持有：持有者获得 4 点防御努力值，但在对战中速度减半。,虽然携带后速度会降低， 但精灵的防御 会比平时成长得更高。
268,268,,持有：持有者的速度降低 50%。每当持有者从对战中获得特攻努力值时，特攻努力值增加 4 点；此加成在病毒倍增效果之前结算。,持有：持有者获得 4 点特攻努力值，但在对战中速度减半。,虽然携带后速度会降低， 但精灵的特攻 会比平时成长得更高。
269,269,,持有：持有者的速度降低 50%。每当持有者从对战中获得特防努力值时，特防努力值增加 4 点；此加成在病毒倍增效果之前结算。,持有：持有者获得 4 点特防努力值，但在对战中速度减半。,虽然携带后速度会降低， 但精灵的特防 会比平时成长得更高。
270,270,,持有：持有者的速度降低 50%。每当持有者从对战中获得速度努力值时，速度努力值增加 4 点；此加成在病毒倍增效果之前结算。,持有：持有者获得 4 点速度努力值，但在对战中速度减半。,虽然携带后速度会降低， 但精灵的速度 会比平时成长得更高。
271,271,,持有：持有者的速度降低 50%。每当持有者从对战中获得ＨＰ努力值时，ＨＰ努力值增加 4 点；此加成在病毒倍增效果之前结算。,持有：持有者获得 4 点ＨＰ努力值，但在对战中速度减半。,虽然携带后速度会降低， 但精灵的ＨＰ 会比平时成长得更高。
272,272,,持有：持有者不受任何阻止其主动离开对战的技能或能力的影响。,持有：持有者可以绕过所有陷印效果并切换出去。多回合技能仍然无法切换出去。,结实坚硬的空壳。 携带它的精灵必定可以 和后备的精灵进行替换。
273,273,,持有：吸收、水之环、汲取拳、食梦者、千兆汲取、根粒、水蛭生命、水蛭种子和超级汲取恢复的生命值增加 30%。造成的伤害不受影响。,持有：汲取技能、铭晶、水之戒恢复的生命值增加 3/10（30%）。,携带后，吸取ＨＰ的技能 可以比平时更多地回复自己的ＨＰ。
274,274,,持有：持有者的特殊攻击力提高 50%，但仅限于其使用的第一个技能，直到其离开对战或失去该物品为止。如果该道具通过戏法或掉包交换为另一个讲究类道具，则持有者的限制仍然会解除，但它将再次受到其使用的下一个技能限制。（特殊情况：如果持有者通过急速折返替换上场，并且它也会急速折返，则急速折返会成为其限制技能。）,持有：特攻增加 50%，但限制持有者只能进行一招。,有点讲究的眼镜。 虽然携带后特攻会提高， 但只能使出相同的技能。
275,275,,持有：持有者的火属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为火。,持有：持有者的火属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为火。,火属性的石板。 携带后，火属性的 技能威力就会增强。
276,276,,持有：持有者的水属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为水。,持有：持有者的水属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为水。,水属性的石板。 携带后，水属性的 技能威力就会增强。
277,277,,持有：持有者的电属性技能威力增加 20%。由拥有多属性的精灵持有：持有者的属性变为电属性。,持有：持有者的电属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为电属性。,电属性的石板。 携带后，电属性的 技能威力就会增强。
278,278,,持有：持有者的草属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为草属性。,持有：持有者的草属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为草属性。,草属性的石板。 携带后，草属性的 技能威力就会增强。
279,279,,持有：持有者的冰属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为冰属性。,持有：持有者的冰属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为冰属性。,冰属性的石板。 携带后，冰属性的 技能威力就会增强。
280,280,,持有：持有者的格斗属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为格斗。,持有：持有者的格斗属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为格斗属性。,格斗属性的石板。 携带后，格斗属性的 技能威力就会增强。
281,281,,持有：持有者的毒属性技能威力增加 20%。由拥有多属性的精灵持有：持有者的属性变为毒属性。,持有：持有者的毒属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为毒属性。,毒属性的石板。 携带后，毒属性的 技能威力就会增强。
282,282,,持有：持有者的地面属性技能威力增加 20%。由拥有多属性的精灵持有：持有者的属性变为地面属性。,持有：持有者的地面属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为地面属性。,地面属性的石板。 携带后，地面属性的 技能威力就会增强。
283,283,,持有：持有者的飞行属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为飞行属性。,持有：持有者的飞行属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为飞行属性。,飞行属性的石板。 携带后，飞行属性的 技能威力就会增强。
284,284,,持有：持有者的超能力属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为超能力属性。,持有：持有者的超能力属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为超能力属性。,超能力属性的石板。 携带后，超能力属性的 技能威力就会增强。
285,285,,持有：持有者的虫属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为虫。,持有：持有者的虫属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为虫。,虫属性的石板。 携带后，虫属性的 技能威力就会增强。
286,286,,持有：持有者的岩石属性技能威力增加 20%。由拥有多属性的精灵持有：持有者的属性变为岩石属性。,持有：持有者的岩石属性技能造成的伤害增加 20%。将阿尔宙斯和审判的属性更改为岩石属性。,岩石属性的石板。 携带后，岩石属性的 技能威力就会增强。
287,287,,持有：持有者的幽灵属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为幽灵属性。,持有：持有者的幽灵属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为幽灵属性。,幽灵属性的石板。 携带后，幽灵属性的 技能威力就会增强。
288,288,,持有：持有者的龙属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为龙属性。,持有：持有者的龙属性技能造成的伤害增加 20%。将阿尔宙斯和审判的属性更改为龙属性。,龙属性的石板。 携带后，龙属性的 技能威力就会增强。
289,289,,持有：持有者的恶属性技能威力增加20%。由拥有多属性的精灵持有：持有者的属性变为恶属性。,持有：持有者的恶属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为恶属性。,恶属性的石板。 携带后，恶属性的 技能威力就会增强。
290,290,,持有：持有者的钢属性技能威力增加 20%。由拥有多属性的精灵持有：持有者的属性变为钢属性。,持有：持有者的钢属性技能造成的伤害提高 20%。将阿尔宙斯和审判的属性更改为钢属性。,钢属性的石板。 携带后，钢属性的 技能威力就会增强。
298,298,,由钻角犀兽持有：通信交换时将持有者进化为超甲狂犀。,钻角犀兽通信交换时持有：持有者进化为超甲狂犀。,某种护具。 非常坚硬而且沉重。 某种精灵很喜欢它。
299,299,,由电击兽持有：通信交换时将持有者进化为电击魔兽。,电击兽通信交换时持有：持有者进化为电击魔兽。,积蓄着庞大电气能量的箱子。 某种精灵很喜欢它。
300,300,,由鸭嘴火兽持有：通信交换时将持有者进化为鸭嘴炎兽。,鸭嘴火兽通信交换时持有：持有者进化为鸭嘴炎兽。,积蓄着庞大熔岩能量的箱子。 某种精灵很喜欢它。
301,301,,由多边兽２型持有：通信交换时将持有者进化为多边兽乙型。,多边兽２型通信交换时持有：持有者进化为多边兽乙型。,内部储存了奇怪信息的透明机器。 制造者不明。
302,302,,由彷徨夜灵持有：通信交换时将持有者进化为黑夜魔灵。,彷徨夜灵通信交换时持有：持有者进化为黑夜魔灵。,蕴含着惊人强大灵力的布。 某种精灵很喜欢它。
303,303,,持有：将持有者的击中要害率提高一级。由狃拉持有时，在夜间升级会进化为玛狃拉。,持有：持有者的击中要害率提升一级。狃拉夜间升级时持有：持有者进化为玛狃拉。,尖锐的爪子。 携带后，技能会 变得容易击中要害。
304,304,7,持有：当持有者使用伤害性技能攻击时，有 10% 几率使目标畏缩。由天蝎持有时，在夜间升级会进化为天蝎王。,持有：伤害性技能有 10% 的几率使目标畏缩。天蝎夜间升级时持有：持有者进化为天蝎王。,尖锐的牙齿。 携带后，在给予伤害时， 有时会让对手畏缩。
442,442,,骑拉帝纳持有：持有者的龙属性和幽灵属性技能拥有基础威力的 1.2 倍。持有者处于起源形态。除了骑拉帝纳以外，其他精灵都无法持有该物品。当您进入联合室或连接到无线通信时，该物品会返回您的包中。,骑拉帝纳龙属性、幽灵属性技能的伤害提升20%，并转化为起源形态。,让骑拉帝纳携带的话， 龙和幽灵属性的技能威力就会提高。 散发着光辉的宝珠。
449,449,,训练师在战斗中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。钓鱼遇到的野生精灵捕获率变为 3 倍。,钓鱼时捕获率提高 3 倍。由蓝色球果制成。,有点与众不同的球。 能很容易地捕捉 用钓竿钓上来的精灵。
450,450,,训练师在战斗中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。己方精灵等级相对野生精灵越高，捕获率越高。,己方精灵等级越高，捕获率越高。由红色球果制成。,有点与众不同的球。 要捕捉的精灵比自己精灵的 等级越低，就会越容易捕捉。
451,451,,训练师在对战中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。若目标属于皮皮、尼多朗、尼多兰、胖丁、向尾喵及其进化家族，捕获率变为 4 倍。,对使用月之石进化的精灵家族捕获效果提高 4 倍。由黄色球果制成。,有点与众不同的球。 能很容易地捕捉 使用月之石进化的精灵。
452,452,,训练师在战斗中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。根据野生精灵的重量，对捕获率给予固定奖励或惩罚。,根据目标的重量等级，对捕获率有固定的奖励或惩罚。由黑色球果制成。,有点与众不同的球。 能很容易地捕捉 身体沉重的精灵。
453,453,,训练师在战斗中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。若野生精灵的基础速度为 100 或以上，捕获率变为 4 倍。,对基础速度为 100 或更高的精灵捕获率为 4 倍。由白色球果制成。,有点与众不同的球。 能很容易地捕捉 逃跑速度很快的精灵。
454,454,,训练师在战斗中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。被捕获的精灵亲密度从 200 开始。,捕获的精灵初始亲密度为 200。由绿色球果制成。,有点与众不同的球。 捉到的野生精灵会立刻 变得和训练家亲密起来。
455,455,,训练师在战斗中使用：尝试捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。若己方精灵与野生精灵为同种异性，捕获率变为 8 倍。,对己方精灵异性的同种目标捕获率为 8 倍。由粉色球果制成。,有点与众不同的球。 能很容易地捕捉 和自己精灵性别不同的精灵。
457,457,,训练师在战斗中使用：尝试捕捉野生精灵。野生精灵的捕获率是正常的1.5倍。,尝试在国家公园的捉虫比赛中捕捉精灵。 （第二代：公园球）,曽在城都地区的捕虫大赛上使用的 特殊的球。
580,580,,由丑丑鱼持有：通信交换时将持有者进化为美纳斯。,丑丑鱼通信交换时持有：持有者进化为美纳斯。,能让某些特定精灵 进化的神奇鳞片。 散发着虹色光辉。
581,581,,未完全进化的精灵持有：持有者的防御力和特防力为 1.5 倍。,持有：持有者拥有1.5倍的防御和特防，只要它没有完全进化。,进化的神奇石块。 携带后，还能进化的精灵的 防御和特防就会提高。
582,582,,持有：持有者有 0.5 倍的重量。,持有：持有者有0.5×重量。,非常轻的石头。 携带后，精灵的体重会变轻。
583,583,,持有：当持有者被接触技能击中时，攻击的精灵会受到其最大生命值 1/6 的伤害。,持有：当持有者被接触技能击中时，攻击的精灵会受到其最大生命值 1/6 的伤害。,让精灵携带后， 在受到打击技能攻击时， 能给予对手伤害。
584,584,,持有：持有者免疫地面属性技能、尖刺、有毒尖刺和竞技场陷阱。此效果在“重力”或“扎根”期间不适用。当持有者因技能而受到伤害时，该物品就会被消耗。,持有：免疫地面属性技能、尖刺和有毒尖刺。当持有者因技能而受到伤害时消耗。,让精灵携带后， 精灵会浮在空中。 受到攻击就会破裂。
585,585,,持有：当持有者直接因技能而受到伤害并且没有晕倒时，它会切换到队伍中的另一只随机的、未晕倒的精灵。如果其他效果阻止持有者切换出去，则该效果不会激活。,持有：当持有者因技能而受到伤害时，对手会随机切换到另一只队伍精灵。使用后消耗掉。,有着神奇力量的卡片。 携带后，能让使用了 技能的对手退场。
586,586,,持有：当使用者的其中一种属性使其免受伤害时，该属性在伤害计算中将被忽略。,持有：否定持有者的属性豁免权。技能免疫不会被移除。,原本因精灵的属性相克关系 而无效的技能现在会变得 能够击中自己。
587,587,,持有：持有者使用的在多回合内困住并伤害目标的技能（例如束缚、火焰旋涡）造成的每回合伤害是通常的两倍。,持有：使多回合诱捕技能的每回合伤害加倍。,能增强绑紧技能的束带。 携带后，绑紧技能的威力会变强。
588,588,,持有：当持有者因技能受到水属性伤害时，其特攻上升一级，并且该物品被消耗。,持有：受到水属性伤害时，持有者的特攻提升一级。,一次性使用的球根。 携带它的精灵如果受到水属性 技能的攻击，特攻就会提高。
589,589,,持有：当持有者受到电属性技能伤害时，攻击力提升一级，并消耗该物品。,持有：受到电属性伤害时，持有者的攻击力提升一级。,一次性使用的充电电池。 携带它的精灵如果受到电属性 技能的攻击，攻击就会提高。
590,590,,持有：当持有者直接因技能而受到伤害并且没有晕倒时，它会切换到队伍中由训练家选择的另一只未晕倒的精灵。如果其他效果阻止持有者切换出去，则该效果不会激活。,持有：当持有者因技能而受到伤害时，它会切换为训练师选择的队伍精灵。,携带它的精灵如果受到技能攻击， 就能逃脱战斗，并和同行的 其他精灵进行替换。
612,612,,可在商店出售换取金钱。,售价 100 神奇币。,仅仅只是漂亮， 没有任何效果， 极其普通的羽毛。
617,617,,只能在连入之森中使用，用来捕捉梦世界中遇到的精灵。用于对战：成功捕捉野生精灵。,捕捉在梦世界中发现的精灵。,有点与众不同的球。 能很容易地捕捉 睡眠状态的精灵。
622,622,,邪教供应商垃圾。,以 30000 神奇币的价格出售给矿石收藏家。,以纯金制成， 闪着金光的大珠子。 可以在商店高价出售。
669,669,,持有：当持有者使用伤害性的一般属性技能时，该技能威力增加 1.5 倍，并消耗该物品。,持有：使用伤害性的一般属性技能时，技能威力增加 1.5 倍并消耗该物品。,一般属性的宝石。 携带后，一般属性的 技能威力只会增强１次。
682,682,,持有：当持有者受到效果绝佳的技能击中时，攻击力和特攻力提升两级。,持有：当持有者受到效果绝佳的技能击中时，攻击力和特攻力提升两级。,被针对弱点时， 攻击和特攻就会大幅提高。
683,683,,持有者特防提升至1.5倍。阻止持有者选择状态技能。,持有者特防提升至1.5倍。阻止持有者选择状态技能。,会变得富有攻击性的背心。 虽然携带后特防会提高， 但会无法使出变化技能。
684,684,,持有：持有者的妖精属性技能造成的伤害增加 20%。将阿尔宙斯和审判的属性更改为妖精。,持有：持有者的妖精属性技能造成的伤害增加 20%。将阿尔宙斯和审判的属性更改为妖精。,妖精属性的石板。 携带后，妖精属性的 技能威力就会增强。
686,686,,由绵绵泡芙持有：通信交换时将持有者进化为胖甜妮。,绵绵泡芙通信交换时持有：持有者进化为胖甜妮。,松松软软起着泡的， 稍微有点甜的奶油。 某种精灵很喜欢它。
687,687,,由粉香香持有：通信交换时将持有者进化为芳香精。,粉香香通信交换时持有：持有者进化为芳香精。,装着散发微浓香气的 香料的袋子。 某种精灵很喜欢它。
688,688,,持有：如果持有者受到伤害性的水属性技能击中，则会消耗该物品并提高一级特防。,持有：若持有者受到伤害性的水属性技能击中，其特防提升一级。,一次性使用的光苔。 携带它的精灵如果受到水属性 技能攻击，特防就会提高。
689,689,,持有：若持有者受到伤害性的冰属性技能击中，其攻击力提升一级。,持有：若持有者受到伤害性的冰属性技能击中，其攻击力提升一级。,一次性使用的雪球。 携带它的精灵如果受到冰属性 技能攻击，攻击就会提高。
690,690,,持有：防止粉末技能造成的伤害以及冰雹和沙尘暴造成的伤害。,持有：防止粉末技能造成的伤害以及冰雹和沙尘暴造成的伤害。,不单是天气造成的伤害， 就连粉末类技能的效果 也能防御的护目镜。
723,723,,持有：被效果绝佳的妖精属性攻击击中时消耗，使伤害减半。,持有：被效果绝佳的妖精属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的妖精属性技能 攻击时，能令其威力减弱。
724,724,3,持有：持有者受到物理攻击时，防御力提升一级。,持有：持有者受到物理攻击时，防御力提升一级。,让精灵携带后， 在受到物理技能攻击时， 自己的防御就会提高。
725,725,3,持有：当持有者受到特殊技能击中时，其特防增加一级。,持有：当持有者受到特殊技能击中时，其特防增加一级。,让精灵携带后， 在受到特殊技能攻击时， 自己的特防就会提高。
836,836,,与极限特训人员交换，将一只精灵的一项个体值视为最高。,与极限特训人员交换，使精灵的一项个体值视为最高。,银色的美丽王冠。 有些人收到它会很高兴。
837,837,,与极限特训人员交换，将精灵的所有个体值视为最高。,与极限特训人员交换，使精灵的所有个体值视为最高。,金色的美丽王冠。 比银色王冠珍贵。 有些人收到它会很高兴。
883,883,,使野生精灵更有可能召唤同伴。持有：受到威吓影响时，持有者的速度提升1级。,使野生精灵更有可能召唤同伴。持有：受到威吓影响时，持有者的速度提升1级。,让精灵携带后， 在受到威吓时速度会提高。
885,885,,用于队伍精灵：将阿罗拉山鼩进化为阿罗拉沙刃，或将阿罗拉六尾进化为阿罗拉九尾。,将阿罗拉沙鼩进化为阿罗拉沙斩，或将阿罗拉六尾进化为阿罗拉九尾。,能让某些特定精灵 进化的神奇石头。 有着雪花般的花纹。
887,887,,用于战斗：尝试捕捉野生精灵。如果野生精灵是究极异兽，则该球的捕获率为 5 倍。否则，捕获率为 0.1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。究极异兽的成功率为 5 倍，所有其他精灵的成功率为 0.1 倍。,有些与众不同的精灵球。 很难捕捉一般的精灵。
896,896,,持有：当持有者改变地形（无论是通过技能还是能力）时，它将持续 8 回合而不是 5 回合。,持有：将持有者的地形效果延长至8回合。,当携带它的精灵 利用技能或特性展开场地时， 场地的持续时间会比平时更长。
897,897,,持有：使用接触类技能攻击时，不会受到目标因接触产生的效果。,持有：防止接触攻击触发目标的接触效果。,不会受到触碰攻击对手时 本应受到的效果。
898,898,,持有：如果持有者在电域中进入对战，或者在对战中激活了电域，则该物品被消耗，持有者的防御力上升一级。,持有：在电地形上消耗，持有者防御力提升一级。,让精灵携带后， 在电气场地上使用， 防御就会提高。
899,899,,持有：若持有者在精神场地进入对战，或在对战中开启精神场地，则该物品会被消耗，持有者的特防提升一级。,持有：在精神场地消耗，持有者的特防提升一级。,让精灵携带后， 在精神场地上使用， 特防就会提高。
900,900,,持有：如果持有者在迷雾之地中进入对战，或者在对战中激活迷雾之地，则该物品会被消耗，持有者的特防会上升一级。,持有：在迷雾之地消耗，持有者特防提升一级。,让精灵携带后， 在薄雾场地上使用， 特防就会提高。
901,901,,持有：如果持有者在草地地形中进入对战，或者如果持有者在对战中激活草地地形，则该物品会被消耗，并且持有者的防御力会上升一级。,持有：在草地上消耗，持有者的防御力提升一级。,让精灵携带后， 在青草场地上使用， 防御就会提高。
1161,1161,,据说很久以前，英雄就是 拿着这把剑驱走了灾厄。 而现在早已变得锈迹斑斑。,据说很久以前，英雄就是 拿着这把剑驱走了灾厄。 而现在早已变得锈迹斑斑。,据说很久以前，英雄就是 拿着这把剑驱走了灾厄。 而现在早已变得锈迹斑斑。
1162,1162,,据说很久以前，英雄就是 拿着这面盾驱走了灾厄。 而现在早已变得锈迹斑斑。,据说很久以前，英雄就是 拿着这面盾驱走了灾厄。 而现在早已变得锈迹斑斑。,据说很久以前，英雄就是 拿着这面盾驱走了灾厄。 而现在早已变得锈迹斑斑。
1167,1167,,草莓形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,草莓形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,草莓形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1168,1168,,爱心形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,爱心形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,爱心形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1169,1169,,浆果形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,浆果形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,浆果形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1170,1170,,四叶草形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,四叶草形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,四叶草形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1171,1171,,花朵形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,花朵形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,花朵形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1172,1172,,星星形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,星星形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,星星形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1173,1173,,蝴蝶结形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,蝴蝶结形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。,蝴蝶结形状的工艺糖果。 让小仙奶携带的话， 会高兴地转圈圈。
1174,1174,,这种神奇的苹果 可以使特定的精灵进化。 吃起来非常甜美。,这种神奇的苹果 可以使特定的精灵进化。 吃起来非常甜美。,这种神奇的苹果 可以使特定的精灵进化。 吃起来非常甜美。
1175,1175,,这种神奇的苹果 可以使特定的精灵进化。 吃起来酸酸的。,这种神奇的苹果 可以使特定的精灵进化。 吃起来酸酸的。,这种神奇的苹果 可以使特定的精灵进化。 吃起来酸酸的。
1176,1176,,使用声音相关的技能时， 特攻会提高。,使用声音相关的技能时， 特攻会提高。,使用声音相关的技能时， 特攻会提高。
